Position,Team,Played,Won,Draw,Lost,Points,GF,GA,GD
1,Liverpool,36,25,8,3,83,83,37,46
2,Arsenal,37,19,14,4,71,67,33,34
3,Newcastle,37,20,6,11,66,68,46,22
4,Chelsea,37,19,9,9,66,63,43,20
5,Aston Villa,37,19,9,9,66,58,49,9
6,Man City,36,19,8,9,65,67,43,24
7,Nottingham,37,19,8,10,65,58,45,13
8,Brentford,37,16,7,14,55,65,56,9
9,Brighton Hove,36,14,13,9,55,59,56,3
10,Fulham,37,15,9,13,54,54,52,2
11,Bournemouth,36,14,11,11,53,55,43,12
12,Crystal Palace,36,12,13,11,49,46,48,-2
13,Everton,37,10,15,12,45,41,44,-3
14,Wolverhampton,36,12,5,19,41,51,64,-13
15,West Ham,37,10,10,17,40,43,61,-18
16,Man United,37,10,9,18,39,42,54,-12
17,Tottenham,37,11,5,21,38,63,61,2
18,Leicester City,37,6,7,24,25,33,78,-45
19,Ipswich Town,37,4,10,23,22,35,79,-44
20,Southampton,37,2,6,29,12,25,84,-59
